Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,5,157,7,Some Random Commen with Id 0
1,1,5,157,8,Some Random Commen with Id 1
2,1,5,32,4,Some Random Commen with Id 2
3,3,6,133,1,Some Random Commen with Id 3
4,3,6,190,6,Some Random Commen with Id 4
5,3,6,7,3,Some Random Commen with Id 5
6,3,6,75,6,Some Random Commen with Id 6
7,3,6,47,6,Some Random Commen with Id 7
8,3,6,36,6,Some Random Commen with Id 8
9,3,6,7,9,Some Random Commen with Id 9
10,3,6,187,9,Some Random Commen with Id 10
11,3,6,121,1,Some Random Commen with Id 11
12,4,8,92,4,Some Random Commen with Id 12
13,4,8,29,2,Some Random Commen with Id 13
14,4,8,144,1,Some Random Commen with Id 14
15,4,8,195,6,Some Random Commen with Id 15
16,4,8,60,8,Some Random Commen with Id 16
17,4,8,56,3,Some Random Commen with Id 17
18,4,8,79,7,Some Random Commen with Id 18
19,5,3,19,0,Some Random Commen with Id 19
20,5,3,68,5,Some Random Commen with Id 20
21,5,3,61,1,Some Random Commen with Id 21
22,5,3,31,6,Some Random Commen with Id 22
23,5,3,105,8,Some Random Commen with Id 23
24,5,3,106,3,Some Random Commen with Id 24
25,5,3,51,8,Some Random Commen with Id 25
26,6,8,192,0,Some Random Commen with Id 26
27,6,8,16,1,Some Random Commen with Id 27
28,7,5,166,6,Some Random Commen with Id 28
29,9,8,186,7,Some Random Commen with Id 29
30,9,8,188,1,Some Random Commen with Id 30
31,9,8,192,1,Some Random Commen with Id 31
32,9,8,97,7,Some Random Commen with Id 32
33,9,8,142,7,Some Random Commen with Id 33
34,9,8,18,1,Some Random Commen with Id 34
35,9,8,174,1,Some Random Commen with Id 35
36,9,8,120,8,Some Random Commen with Id 36
37,9,8,119,6,Some Random Commen with Id 37
38,10,6,47,1,Some Random Commen with Id 38
39,10,6,73,8,Some Random Commen with Id 39
40,10,6,170,9,Some Random Commen with Id 40
41,10,6,163,9,Some Random Commen with Id 41
42,11,9,179,5,Some Random Commen with Id 42
43,11,9,73,5,Some Random Commen with Id 43
44,11,9,98,8,Some Random Commen with Id 44
45,11,9,34,3,Some Random Commen with Id 45
46,11,9,159,5,Some Random Commen with Id 46
47,11,9,179,3,Some Random Commen with Id 47
48,12,6,33,5,Some Random Commen with Id 48
49,12,6,94,8,Some Random Commen with Id 49
50,13,2,188,3,Some Random Commen with Id 50
51,13,2,61,7,Some Random Commen with Id 51
52,13,2,12,2,Some Random Commen with Id 52
53,13,2,80,3,Some Random Commen with Id 53
54,13,2,31,0,Some Random Commen with Id 54
55,14,0,144,6,Some Random Commen with Id 55
56,14,0,168,5,Some Random Commen with Id 56
57,14,0,56,9,Some Random Commen with Id 57
58,14,0,149,3,Some Random Commen with Id 58
59,14,0,193,3,Some Random Commen with Id 59
60,14,0,83,5,Some Random Commen with Id 60
61,14,0,10,8,Some Random Commen with Id 61
62,15,8,145,5,Some Random Commen with Id 62
63,15,8,39,5,Some Random Commen with Id 63
64,15,8,0,5,Some Random Commen with Id 64
65,15,8,143,6,Some Random Commen with Id 65
66,15,8,46,2,Some Random Commen with Id 66
67,15,8,121,2,Some Random Commen with Id 67
68,16,1,186,8,Some Random Commen with Id 68
69,16,1,100,3,Some Random Commen with Id 69
